Appliances,lights,Windspeed,Visibility
30,10,6.8333333333333295,30.8333333333333
40,0,7.0,29.0
50,10,6.8333333333333295,30.8333333333333
50,0,6.6666666666666705,32.66666666666669
50,0,6.5,34.5
40,0,6.3333333333333295,36.3333333333333
50,0,6.1666666666666705,38.16666666666669
40,0,6.0,40.0
40,0,6.3333333333333295,40.0
40,0,6.6666666666666705,40.0
40,0,7.0,40.0
50,0,7.3333333333333295,40.0
50,0,7.666666666666669,40.0
50,0,8.0,40.0
30,0,8.0,37.8333333333333
20,0,8.0,35.66666666666669
30,0,8.0,33.5
20,0,8.0,31.3333333333333
40,0,8.0,29.166666666666693
50,0,8.0,27.0
60,0,8.0,26.0
50,0,8.0,25.0
40,0,8.0,24.0
40,0,8.0,23.0
50,0,8.0,22.0
40,0,8.0,21.0
40,0,8.0,21.5
50,0,8.0,22.0
50,0,8.0,22.5
50,0,8.0,23.0
40,0,8.0,23.5
30,0,8.0,24.0
20,0,8.0,24.0
20,0,8.0,24.0
20,0,8.0,24.0
50,0,8.0,24.0
50,0,8.0,24.0
50,0,8.0,24.0
40,0,8.0,23.666666666666693
40,0,8.0,23.3333333333333
50,0,8.0,23.0
40,0,8.0,22.666666666666693
50,0,8.0,22.3333333333333
50,0,8.0,22.0
50,0,7.8333333333333295,22.166666666666693
40,0,7.666666666666669,22.3333333333333
40,0,7.5,22.5
50,0,7.3333333333333295,22.666666666666693
20,0,7.1666666666666705,22.8333333333333
20,0,7.0,23.0
50,0,6.8333333333333295,25.8333333333333
30,10,6.6666666666666705,28.666666666666693
50,10,6.5,31.5
50,10,6.3333333333333295,34.3333333333333
200,0,6.1666666666666705,37.16666666666669
110,10,6.0,40.0
80,10,5.8333333333333295,36.66666666666669
50,0,5.66666666666667,33.3333333333333
50,0,5.5,30.0
50,0,5.3333333333333295,26.666666666666693
40,0,5.16666666666667,23.3333333333333
40,0,5.0,20.0
30,0,4.8333333333333295,21.5
180,20,4.66666666666667,23.0
350,30,4.5,24.5
350,20,4.3333333333333295,26.0
300,30,4.16666666666667,27.5
400,20,4.0,29.0
390,30,4.16666666666667,30.8333333333333
290,30,4.3333333333333295,32.66666666666669
60,30,4.5,34.5
70,20,4.66666666666667,36.3333333333333
110,30,4.8333333333333295,38.16666666666669
90,20,5.0,40.0
60,20,5.0,38.16666666666669
70,20,5.0,36.3333333333333
80,20,5.0,34.5
60,0,5.0,32.66666666666669
40,10,5.0,30.8333333333333
30,10,5.0,29.0
70,10,5.16666666666667,30.8333333333333
50,10,5.3333333333333295,32.66666666666669
80,10,5.5,34.5
80,10,5.66666666666667,36.3333333333333
50,0,5.8333333333333295,38.16666666666669
40,0,6.0,40.0
50,0,5.8333333333333295,38.16666666666669
40,0,5.66666666666667,36.3333333333333
40,0,5.5,34.5
50,0,5.3333333333333295,32.66666666666669
30,0,5.16666666666667,30.8333333333333
30,0,5.0,29.0
20,0,5.0,28.666666666666693
20,0,5.0,28.3333333333333
50,0,5.0,28.0
40,0,5.0,27.666666666666693
50,0,5.0,27.3333333333333
40,0,5.0,27.0
60,0,5.16666666666667,29.166666666666693
40,0,5.3333333333333295,31.3333333333333
40,0,5.5,33.5
50,0,5.66666666666667,35.66666666666669
40,0,5.8333333333333295,37.8333333333333
40,0,6.0,40.0
30,0,5.66666666666667,40.0
30,0,5.3333333333333295,40.0
30,0,5.0,40.0
40,0,4.66666666666667,40.0
80,0,4.3333333333333295,40.0
70,0,4.0,40.0
80,0,3.8333333333333295,40.0
70,0,3.6666666666666705,40.0
80,0,3.5,40.0
80,0,3.33333333333333,40.0
100,0,3.16666666666667,40.0
90,0,3.0,40.0
100,10,3.0,40.0
90,0,3.0,40.0
110,0,3.0,40.0
90,10,3.0,40.0
100,0,3.0,40.0
100,10,3.0,40.0
110,0,3.0,38.16666666666669
100,10,3.0,36.3333333333333
90,10,3.0,34.5
90,10,3.0,32.66666666666669
180,10,3.0,30.8333333333333
140,0,3.0,29.0
100,10,3.33333333333333,29.0
110,20,3.6666666666666705,29.0
340,20,4.0,29.0
380,20,4.3333333333333295,29.0
210,30,4.66666666666667,29.0
150,20,5.0,29.0
330,20,5.0,30.8333333333333
420,20,5.0,32.66666666666669
330,20,5.0,34.5
130,20,5.0,36.3333333333333
130,20,5.0,38.16666666666669
110,20,5.0,40.0
250,10,5.0,38.16666666666669
520,0,5.0,36.3333333333333
360,0,5.0,34.5
330,0,5.0,32.66666666666669
310,0,5.0,30.8333333333333
270,0,5.0,29.0
230,0,5.16666666666667,30.8333333333333
170,10,5.3333333333333295,32.66666666666669
60,0,5.5,34.5
30,0,5.66666666666667,36.3333333333333
30,0,5.8333333333333295,38.16666666666669
30,0,6.0,40.0
40,0,5.8333333333333295,38.16666666666669
50,0,5.66666666666667,36.3333333333333
50,0,5.5,34.5
40,0,5.3333333333333295,32.66666666666669
40,0,5.16666666666667,30.8333333333333
50,0,5.0,29.0
50,0,5.0,28.666666666666693
40,0,5.0,28.3333333333333
60,0,5.0,28.0
40,0,5.0,27.666666666666693
40,0,5.0,27.3333333333333
50,0,5.0,27.0
40,0,5.0,27.166666666666693
30,0,5.0,27.3333333333333
30,0,5.0,27.5
30,0,5.0,27.666666666666693
40,0,5.0,27.8333333333333
40,0,5.0,28.0
50,0,5.16666666666667,30.0
40,0,5.3333333333333295,32.0
40,0,5.5,34.0
40,0,5.66666666666667,36.0
50,0,5.8333333333333295,38.0
50,0,6.0,40.0
50,0,5.8333333333333295,38.0
40,0,5.66666666666667,36.0
50,0,5.5,34.0
40,0,5.3333333333333295,32.0
40,0,5.16666666666667,30.0
20,0,5.0,28.0
30,0,5.16666666666667,28.166666666666693
30,0,5.3333333333333295,28.3333333333333
40,0,5.5,28.5
50,0,5.66666666666667,28.666666666666693
40,0,5.8333333333333295,28.8333333333333
40,0,6.0,29.0
50,0,5.8333333333333295,28.666666666666693
40,0,5.66666666666667,28.3333333333333
50,0,5.5,28.0
50,0,5.3333333333333295,27.666666666666693
40,0,5.16666666666667,27.3333333333333
50,0,5.0,27.0
40,0,5.66666666666667,27.166666666666693
40,0,6.3333333333333295,27.3333333333333
40,0,7.0,27.5
40,0,7.666666666666669,27.666666666666693
30,10,8.33333333333333,27.8333333333333
70,10,9.0,28.0
360,20,8.83333333333333,26.666666666666693
400,10,8.66666666666667,25.3333333333333
70,10,8.5,24.0
70,0,8.33333333333333,22.666666666666693
390,0,8.16666666666667,21.3333333333333
100,0,8.0,20.0
80,10,7.1666666666666705,22.5
70,0,6.3333333333333295,25.0
170,10,5.5,27.5
360,0,4.66666666666667,30.0
180,10,3.8333333333333295,32.5
130,0,3.0,35.0
70,20,3.5,35.8333333333333
70,10,4.0,36.66666666666669
180,20,4.5,37.5
170,20,5.0,38.3333333333333
390,30,5.5,39.16666666666669
420,20,6.0,40.0
340,20,5.66666666666667,40.0
550,10,5.3333333333333295,40.0
690,10,5.0,40.0
620,10,4.66666666666667,40.0
610,10,4.3333333333333295,40.0
490,10,4.0,40.0
260,20,4.16666666666667,40.0
240,10,4.3333333333333295,40.0
220,10,4.5,40.0
130,10,4.66666666666667,40.0
90,10,4.8333333333333295,40.0
290,10,5.0,40.0
410,0,5.16666666666667,40.0
320,0,5.3333333333333295,40.0
260,0,5.5,40.0
210,0,5.66666666666667,40.0
210,0,5.8333333333333295,40.0
140,0,6.0,40.0
60,0,6.0,40.0
50,0,6.0,40.0
60,0,6.0,40.0
50,0,6.0,40.0
60,0,6.0,40.0
140,0,6.0,40.0
270,0,6.0,40.0
200,0,6.0,40.0
60,0,6.0,40.0
50,0,6.0,40.0
60,0,6.0,40.0
80,0,6.0,40.0
50,0,6.0,40.0
40,0,6.0,40.0
50,0,6.0,40.0
50,0,6.0,40.0
40,0,6.0,40.0
30,0,6.0,40.0
30,0,6.1666666666666705,40.0
200,0,6.3333333333333295,40.0
450,0,6.5,40.0
400,0,6.6666666666666705,40.0
740,0,6.8333333333333295,40.0
910,0,7.0,40.0
610,10,6.8333333333333295,40.0
510,10,6.6666666666666705,40.0
190,0,6.5,40.0
110,10,6.3333333333333295,40.0
100,0,6.1666666666666705,40.0
90,10,6.0,40.0
110,10,6.1666666666666705,40.0
100,0,6.3333333333333295,40.0
110,10,6.5,40.0
100,10,6.6666666666666705,40.0
790,10,6.8333333333333295,40.0
380,10,7.0,40.0
360,10,7.1666666666666705,40.0
360,10,7.3333333333333295,40.0
100,10,7.5,40.0
100,10,7.666666666666669,40.0
90,10,7.8333333333333295,40.0
90,20,8.0,40.0
110,10,8.33333333333333,40.0
140,30,8.66666666666667,40.0
110,20,9.0,40.0
100,20,9.33333333333333,40.0
110,20,9.66666666666667,40.0
130,20,10.0,40.0
140,30,9.66666666666667,40.0
130,20,9.33333333333333,40.0
120,20,9.0,40.0
100,10,8.66666666666667,40.0
80,0,8.33333333333333,40.0
50,10,8.0,40.0
50,0,7.8333333333333295,37.16666666666669
50,0,7.666666666666669,34.3333333333333
40,0,7.5,31.5
50,0,7.3333333333333295,28.666666666666693
50,0,7.1666666666666705,25.8333333333333
50,0,7.0,23.0
40,0,7.3333333333333295,27.8333333333333
30,0,7.666666666666669,32.66666666666669
30,0,8.0,37.5
40,0,8.33333333333333,42.3333333333333
40,0,8.66666666666667,47.16666666666669
50,0,9.0,52.0
60,0,9.16666666666667,49.0
50,0,9.33333333333333,46.0
60,0,9.5,43.0
50,0,9.66666666666667,40.0
50,0,9.83333333333333,37.0
50,0,10.0,34.0
50,0,10.0,38.66666666666669
50,0,10.0,43.3333333333333
50,0,10.0,48.0
60,0,10.0,52.66666666666669
50,0,10.0,57.3333333333333
50,0,10.0,62.0
50,0,10.166666666666702,55.5
50,0,10.333333333333298,49.0
40,0,10.5,42.5
50,0,10.666666666666702,36.0
40,0,10.833333333333298,29.5
30,0,11.0,23.0
40,0,10.833333333333298,23.3333333333333
30,0,10.666666666666702,23.666666666666693
60,0,10.5,24.0
50,0,10.333333333333298,24.3333333333333
50,0,10.166666666666702,24.666666666666693
40,0,10.0,25.0
50,0,10.0,27.5
60,0,10.0,30.0
50,0,10.0,32.5
50,0,10.0,35.0
50,0,10.0,37.5
50,0,10.0,40.0
40,0,10.0,40.0
50,0,10.0,40.0
50,0,10.0,40.0
50,0,10.0,40.0
60,0,10.0,40.0
50,0,10.0,40.0
40,0,9.83333333333333,40.0
50,0,9.66666666666667,40.0
50,0,9.5,40.0
50,0,9.33333333333333,40.0
30,0,9.16666666666667,40.0
70,10,9.0,40.0
50,10,8.83333333333333,40.0
50,10,8.66666666666667,40.0
50,10,8.5,40.0
50,0,8.33333333333333,40.0
40,10,8.16666666666667,40.0
50,10,8.0,40.0
50,10,8.33333333333333,40.0
150,10,8.66666666666667,40.0
390,20,9.0,40.0
390,10,9.33333333333333,40.0
380,10,9.66666666666667,40.0
400,10,10.0,40.0
370,10,9.83333333333333,40.0
310,10,9.66666666666667,40.0
40,10,9.5,40.0
50,0,9.33333333333333,40.0
70,10,9.16666666666667,40.0
60,10,9.0,40.0
90,10,8.83333333333333,38.16666666666669
60,10,8.66666666666667,36.3333333333333
60,20,8.5,34.5
100,0,8.33333333333333,32.66666666666669
380,10,8.16666666666667,30.8333333333333
390,10,8.0,29.0
130,10,8.16666666666667,27.666666666666693
60,0,8.33333333333333,26.3333333333333
60,10,8.5,25.0
50,10,8.66666666666667,23.666666666666693
60,10,8.83333333333333,22.3333333333333
60,10,9.0,21.0
240,0,8.83333333333333,27.666666666666693
80,10,8.66666666666667,34.3333333333333
80,0,8.5,41.0
400,0,8.33333333333333,47.66666666666669
400,0,8.16666666666667,54.3333333333333
460,10,8.0,61.0
170,0,8.0,55.66666666666669
210,0,8.0,50.3333333333333
190,0,8.0,45.0
70,0,8.0,39.66666666666669
80,0,8.0,34.3333333333333
60,10,8.0,29.0
70,0,8.0,30.8333333333333
60,0,8.0,32.66666666666669
70,0,8.0,34.5
60,0,8.0,36.3333333333333
60,0,8.0,38.16666666666669
60,0,8.0,40.0
60,0,7.8333333333333295,36.8333333333333
60,0,7.666666666666669,33.66666666666669
50,10,7.5,30.5
50,0,7.3333333333333295,27.3333333333333
60,0,7.1666666666666705,24.166666666666693
50,0,7.0,21.0
50,0,7.0,27.666666666666693
70,0,7.0,34.3333333333333
50,0,7.0,41.0
60,0,7.0,47.66666666666669
60,0,7.0,54.3333333333333
90,0,7.0,61.0
100,10,6.6666666666666705,54.66666666666669
90,0,6.3333333333333295,48.3333333333333
100,10,6.0,42.0
110,0,5.66666666666667,35.66666666666669
100,10,5.3333333333333295,29.3333333333333
80,0,5.0,23.0
110,10,5.3333333333333295,29.666666666666693
260,10,5.66666666666667,36.3333333333333
350,10,6.0,43.0
500,10,6.3333333333333295,49.66666666666669
370,10,6.6666666666666705,56.3333333333333
330,20,7.0,63.0
100,10,6.6666666666666705,63.1666666666667
110,20,6.3333333333333295,63.3333333333333
140,20,6.0,63.5
310,30,5.66666666666667,63.6666666666667
330,20,5.3333333333333295,63.8333333333333
190,20,5.0,64.0
160,20,4.8333333333333295,64.0
160,30,4.66666666666667,64.0
480,10,4.5,64.0
280,20,4.3333333333333295,64.0
130,20,4.16666666666667,64.0
150,20,4.0,64.0
140,20,4.0,57.16666666666669
130,20,4.0,50.3333333333333
130,20,4.0,43.5
340,20,4.0,36.66666666666669
490,10,4.0,29.8333333333333
230,10,4.0,23.0
360,10,3.8333333333333295,25.8333333333333
410,10,3.6666666666666705,28.666666666666693
150,0,3.5,31.5
80,10,3.33333333333333,34.3333333333333
80,10,3.16666666666667,37.16666666666669
70,10,3.0,40.0
70,10,3.0,38.0
70,0,3.0,36.0
60,10,3.0,34.0
60,10,3.0,32.0
50,10,3.0,30.0
50,0,3.0,28.0
50,0,3.16666666666667,29.0
30,0,3.33333333333333,30.0
20,0,3.5,31.0
40,0,3.6666666666666705,32.0
50,0,3.8333333333333295,33.0
50,0,4.0,34.0
50,0,4.16666666666667,35.0
60,0,4.3333333333333295,36.0
50,0,4.5,37.0
60,0,4.66666666666667,38.0
50,0,4.8333333333333295,39.0
40,0,5.0,40.0
50,0,4.5,40.0
50,0,4.0,40.0
50,0,3.5,40.0
50,0,3.0,40.0
40,0,2.5,40.0
30,0,2.0,40.0
30,0,2.0,37.16666666666669
40,0,2.0,34.3333333333333
50,0,2.0,31.5
50,0,2.0,28.666666666666693
50,0,2.0,25.8333333333333
50,0,2.0,23.0
60,0,2.16666666666667,22.5
50,0,2.3333333333333295,22.0
50,0,2.5,21.5
40,0,2.66666666666667,21.0
50,0,2.8333333333333295,20.5
50,0,3.0,20.0
50,0,3.0,20.0
50,0,3.0,20.0
30,0,3.0,20.0
30,0,3.0,20.0
30,0,3.0,20.0
50,0,3.0,20.0
50,0,3.0,27.166666666666693
40,0,3.0,34.3333333333333
60,0,3.0,41.5
60,0,3.0,48.66666666666669
50,0,3.0,55.8333333333333
50,0,3.0,63.0
50,0,3.0,63.0
220,0,3.0,63.0
390,10,3.0,63.0
380,10,3.0,63.0
390,10,3.0,63.0
390,10,3.0,63.0
240,10,3.0,63.0
40,10,3.0,63.0
70,10,3.0,63.0
50,0,3.0,63.0
50,0,3.0,63.0
70,0,3.0,63.0
60,0,3.0,55.8333333333333
70,0,3.0,48.66666666666669
60,0,3.0,41.5
50,0,3.0,34.3333333333333
60,0,3.0,27.166666666666693
60,0,3.0,20.0
80,0,3.0,20.0
100,0,3.0,20.0
60,0,3.0,20.0
70,0,3.0,20.0
60,0,3.0,20.0
60,0,3.0,20.0
50,0,3.0,20.5
50,0,3.0,21.0
40,0,3.0,21.5
50,0,3.0,22.0
70,0,3.0,22.5
60,0,3.0,23.0
60,0,3.33333333333333,23.666666666666693
80,0,3.6666666666666705,24.3333333333333
80,0,4.0,25.0
80,0,4.3333333333333295,25.666666666666693
90,0,4.66666666666667,26.3333333333333
90,0,5.0,27.0
100,0,4.8333333333333295,29.166666666666693
80,0,4.66666666666667,31.3333333333333
90,0,4.5,33.5
80,0,4.3333333333333295,35.66666666666669
80,0,4.16666666666667,37.8333333333333
80,0,4.0,40.0
80,0,4.5,40.0
90,0,5.0,40.0
70,0,5.5,40.0
50,0,6.0,40.0
60,10,6.5,40.0
70,10,7.0,40.0
80,10,6.5,44.16666666666669
70,10,6.0,48.3333333333333
370,10,5.5,52.5
410,20,5.0,56.66666666666669
250,10,4.5,60.8333333333333
80,10,4.0,65.0
70,10,3.8333333333333295,60.8333333333333
70,0,3.6666666666666705,56.66666666666669
80,10,3.5,52.5
70,20,3.33333333333333,48.3333333333333
80,20,3.16666666666667,44.16666666666669
80,20,3.0,40.0
150,20,3.6666666666666705,40.0
380,30,4.3333333333333295,40.0
290,30,5.0,40.0
270,20,5.66666666666667,40.0
420,30,6.3333333333333295,40.0
280,20,7.0,40.0
300,20,6.3333333333333295,40.0
350,30,5.66666666666667,40.0
270,20,5.0,40.0
560,20,4.3333333333333295,40.0
1080,30,3.6666666666666705,40.0
750,20,3.0,40.0
390,10,2.66666666666667,40.0
350,10,2.3333333333333295,40.0
340,10,2.0,40.0
290,20,1.66666666666667,40.0
230,40,1.33333333333333,40.0
120,30,1.0,40.0
110,40,1.66666666666667,35.66666666666669
100,40,2.3333333333333295,31.3333333333333
110,40,3.0,27.0
130,40,3.6666666666666705,22.666666666666693
140,30,4.3333333333333295,18.3333333333333
110,30,5.0,14.0
100,20,4.5,15.5
100,30,4.0,17.0
110,20,3.5,18.5
110,20,3.0,20.0
190,20,2.5,21.5
450,20,2.0,23.0
210,20,2.16666666666667,24.0
100,30,2.3333333333333295,25.0
90,20,2.5,26.0
90,20,2.66666666666667,27.0
80,20,2.8333333333333295,28.0
70,20,3.0,29.0
70,10,2.8333333333333295,27.5
70,10,2.66666666666667,26.0
60,0,2.5,24.5
30,0,2.3333333333333295,23.0
30,0,2.16666666666667,21.5
30,0,2.0,20.0
40,0,2.16666666666667,27.5
50,0,2.3333333333333295,35.0
60,0,2.5,42.5
50,0,2.66666666666667,50.0
50,0,2.8333333333333295,57.5
50,0,3.0,65.0
50,0,3.0,58.0
50,0,3.0,51.0
50,0,3.0,44.0
50,0,3.0,37.0
60,0,3.0,30.0
50,0,3.0,23.0
60,0,3.16666666666667,23.5
50,0,3.33333333333333,24.0
40,0,3.5,24.5
30,0,3.6666666666666705,25.0
30,0,3.8333333333333295,25.5
30,0,4.0,26.0
60,0,3.6666666666666705,28.3333333333333
50,0,3.33333333333333,30.666666666666693
60,0,3.0,33.0
50,0,2.66666666666667,35.3333333333333
50,0,2.3333333333333295,37.66666666666669
50,0,2.0,40.0
40,0,2.16666666666667,40.0
60,0,2.3333333333333295,40.0
50,0,2.5,40.0
60,0,2.66666666666667,40.0
50,0,2.8333333333333295,40.0
50,0,3.0,40.0
40,0,3.0,38.0
50,0,3.0,36.0
50,0,3.0,34.0
30,0,3.0,32.0
40,0,3.0,30.0
30,0,3.0,28.0
50,0,3.0,28.0
50,0,3.0,28.0
40,0,3.0,28.0
50,0,3.0,28.0
50,0,3.0,28.0
170,0,3.0,28.0
400,0,2.8333333333333295,27.3333333333333
390,10,2.66666666666667,26.666666666666693
370,10,2.5,26.0
390,10,2.3333333333333295,25.3333333333333
370,10,2.16666666666667,24.666666666666693
380,10,2.0,24.0
100,10,2.0,24.666666666666693
90,20,2.0,25.3333333333333
470,10,2.0,26.0
320,0,2.0,26.666666666666693
270,0,2.0,27.3333333333333
260,0,2.0,28.0
230,0,1.8333333333333297,28.166666666666693
470,10,1.66666666666667,28.3333333333333
400,0,1.5,28.5
290,0,1.33333333333333,28.666666666666693
100,0,1.16666666666667,28.8333333333333
90,0,1.0,29.0
90,0,1.0,29.0
90,0,1.0,29.0
90,0,1.0,29.0
100,0,1.0,29.0
80,0,1.0,29.0
180,0,1.0,29.0
440,0,1.16666666666667,29.0
300,0,1.33333333333333,29.0
250,0,1.5,29.0
280,0,1.66666666666667,29.0
460,0,1.8333333333333297,29.0
120,0,2.0,29.0
120,0,2.0,30.8333333333333
110,0,2.0,32.66666666666669
130,0,2.0,34.5
110,0,2.0,36.3333333333333
120,0,2.0,38.16666666666669
120,0,2.0,40.0
120,0,2.0,40.0
130,0,2.0,40.0
120,0,2.0,40.0
120,0,2.0,40.0
410,0,2.0,40.0
420,0,2.0,40.0
140,0,2.0,40.0
60,0,2.0,40.0
60,0,2.0,40.0
70,10,2.0,40.0
80,0,2.0,40.0
100,0,2.0,40.0
80,0,1.8333333333333297,40.0
80,0,1.66666666666667,40.0
70,0,1.5,40.0
80,0,1.33333333333333,40.0
80,0,1.16666666666667,40.0
90,0,1.0,40.0
80,0,1.16666666666667,40.0
80,0,1.33333333333333,40.0
80,0,1.5,40.0
80,0,1.66666666666667,40.0
80,10,1.8333333333333297,40.0
90,10,2.0,40.0
130,10,2.0,40.0
380,20,2.0,40.0
800,10,2.0,40.0
790,10,2.0,40.0
540,20,2.0,40.0
120,20,2.0,40.0
110,20,2.0,40.0
160,30,2.0,40.0
140,20,2.0,40.0
550,20,2.0,40.0
530,10,2.0,40.0
100,0,2.0,40.0
100,10,2.0,40.0
90,10,2.0,40.0
90,10,2.0,40.0
100,10,2.0,40.0
130,10,2.0,40.0
110,10,2.0,40.0
120,20,2.16666666666667,37.66666666666669
100,30,2.3333333333333295,35.3333333333333
110,20,2.5,33.0
100,20,2.66666666666667,30.666666666666693
120,20,2.8333333333333295,28.3333333333333
250,30,3.0,26.0
110,10,2.8333333333333295,26.3333333333333
110,0,2.66666666666667,26.666666666666693
150,10,2.5,27.0
110,20,2.3333333333333295,27.3333333333333
50,10,2.16666666666667,27.666666666666693
40,10,2.0,28.0
50,10,2.0,28.166666666666693
50,10,2.0,28.3333333333333
70,10,2.0,28.5
60,20,2.0,28.666666666666693
60,10,2.0,28.8333333333333
70,10,2.0,29.0
50,10,2.0,28.3333333333333
70,10,2.0,27.666666666666693
60,10,2.0,27.0
70,20,2.0,26.3333333333333
60,10,2.0,25.666666666666693
60,10,2.0,25.0
50,10,2.0,25.5
40,10,2.0,26.0
30,20,2.0,26.5
40,0,2.0,27.0
50,0,2.0,27.5
50,0,2.0,28.0
40,0,2.0,27.166666666666693
50,10,2.0,26.3333333333333
40,0,2.0,25.5
40,0,2.0,24.666666666666693
40,0,2.0,23.8333333333333
60,0,2.0,23.0
50,0,2.0,23.3333333333333
50,0,2.0,23.666666666666693
40,0,2.0,24.0
40,0,2.0,24.3333333333333
20,0,2.0,24.666666666666693
30,0,2.0,25.0
20,0,2.16666666666667,25.3333333333333
50,0,2.3333333333333295,25.666666666666693
60,0,2.5,26.0
40,0,2.66666666666667,26.3333333333333
50,0,2.8333333333333295,26.666666666666693
40,0,3.0,27.0
40,0,3.0,27.0
50,0,3.0,27.0
50,0,3.0,27.0
40,0,3.0,27.0
50,0,3.0,27.0
40,0,3.0,27.0
