Appliances,lights,T1,RH_1,T2
50,0,20.7,46.2,20.0
40,0,20.6,46.2,20.0
40,0,20.6,46.1266666666667,20.0
30,0,20.566666666666695,46.0666666666667,19.89
20,0,20.5,46.2,19.823333333333295
20,0,20.5,46.29,19.79
40,0,20.426666666666698,46.23,19.79
50,0,20.39,46.29,19.76
50,0,20.39,46.3633333333333,19.7
40,0,20.29,46.5,19.7
50,0,20.29,46.545,19.6333333333333
40,0,20.23,46.5,19.6
40,0,20.2,46.4333333333333,19.6
40,0,20.2,46.56,19.566666666666695
60,0,20.1666666666667,46.3633333333333,19.5
50,0,20.1,46.3633333333333,19.5
50,0,20.1,46.5,19.426666666666698
40,0,20.033333333333296,46.36,19.39
40,0,20.0,46.29,19.39
40,0,20.0,46.29,19.39
40,0,20.0,46.23,19.39
50,0,19.926666666666698,46.23,19.29
70,10,19.89,46.23,19.29
40,0,19.89,46.43,19.29
30,0,19.89,46.6266666666667,19.29
20,10,19.89,46.7,19.218
30,0,19.89,46.8633333333333,19.2
40,10,19.823333333333295,46.8633333333333,19.2
50,10,19.856666666666698,46.93,19.2
60,20,19.79,46.79,19.2
60,20,19.79,46.895,19.175
70,20,19.79,47.4266666666667,19.1
60,30,19.79,48.366666666666696,19.1
140,20,19.79,48.6666666666667,19.1
110,30,19.79,48.5333333333333,19.066666666666695
90,10,19.89,50.0,19.0222222222222
60,0,19.89,48.7333333333333,19.1
60,0,19.89,48.0266666666667,19.033333333333296
60,0,19.89,47.633333333333304,19.0
50,0,19.856666666666698,47.063333333333304,19.0
60,0,19.79,46.6566666666667,19.0
50,0,19.79,46.3333333333333,19.0
30,0,19.79,46.0666666666667,19.0
40,0,19.76,45.8633333333333,18.963333333333296
30,0,19.7,45.79,18.963333333333296
260,0,19.7,45.6633333333333,18.89
500,0,19.7,45.59,18.89
450,0,19.73,47.7933333333333,18.926666666666698
50,10,19.79,48.7933333333333,19.0
60,0,19.89,47.94,19.033333333333296
60,0,19.89,47.16,19.033333333333296
50,0,19.89,46.7666666666667,19.033333333333296
50,0,20.0,46.296666666666695,19.1
50,0,20.0,45.9633333333333,19.1
60,0,20.0,46.2233333333333,19.1
60,0,20.0,45.9633333333333,19.1
60,0,20.0,45.7233333333333,19.15
60,0,20.0,45.6633333333333,19.2
190,0,20.033333333333296,45.5,19.2
220,0,20.1,45.6933333333333,19.2
170,0,20.1,45.4,19.2
390,0,20.1,45.326666666666696,19.2
90,0,20.1,45.326666666666696,19.2
60,0,20.1666666666667,46.993333333333304,19.2
290,0,20.1,46.43,19.1
130,0,20.1,46.03,19.1
140,0,20.066666666666695,45.3633333333333,19.1
240,0,20.0,44.9633333333333,19.1
50,0,20.0,44.76,19.1
60,0,20.0,44.595,19.1
60,0,20.0,44.4333333333333,19.1
60,0,20.0,44.26,19.1
370,0,20.0,44.2,19.1
200,0,20.0,44.06,19.033333333333296
70,0,20.0,44.06,19.0
50,0,20.0,44.09,19.0
40,0,20.0,44.03,19.0
40,0,19.963333333333296,43.9,18.926666666666698
30,0,19.963333333333296,43.9,19.033333333333296
30,0,20.0,43.8633333333333,19.1
30,0,20.066666666666695,43.8633333333333,19.1333333333333
30,0,20.1,43.79,19.2
40,0,20.1,43.73,19.1363636363636
50,0,20.1,43.56,19.13
40,0,20.1,43.4333333333333,19.1
40,0,20.1,43.1633333333333,19.0375
40,0,20.1,43.03,19.007692307692295
60,0,20.066666666666695,42.8333333333333,19.0
60,10,20.0,42.6725,19.0
210,20,20.0,42.53,18.99
380,20,20.033333333333296,43.4966666666667,18.9022222222222
370,40,20.033333333333296,42.9633333333333,18.89
230,30,20.0,43.16,18.89
80,40,20.0,43.9,18.856666666666698
90,30,20.0,43.7,18.856666666666698
70,20,20.0,43.76,18.926666666666698
40,10,20.033333333333296,44.0,19.0
40,0,20.1,44.26,19.2
30,0,20.1,44.2,19.245
50,0,20.1,44.1266666666667,19.29
50,0,20.1,44.06,19.37
60,0,20.1,44.0,19.39
50,0,20.1,43.9,19.39
60,0,20.1,43.826666666666696,19.39
60,0,20.033333333333296,43.73,19.39
60,0,20.1,43.73,19.39
50,0,20.066666666666695,43.49,19.356666666666698
50,0,20.0,43.29,19.29
50,0,20.0,43.145,19.29
50,0,20.0,43.06,19.26
50,0,19.926666666666698,43.0,19.2
60,0,19.89,42.863333333333294,19.2
60,0,19.89,42.79,19.2
40,0,19.89,42.7,19.1
30,0,19.823333333333295,42.6266666666667,19.1
30,20,19.79,42.59,19.044444444444398
30,10,19.79,42.723333333333294,19.0
40,0,19.76,42.76,19.0
50,10,19.7,42.7,19.0
50,0,19.7,42.7,19.0
50,0,19.6333333333333,42.6266666666667,18.910625
40,0,19.6666666666667,43.0,18.89
50,0,19.6,43.0,18.89
40,0,19.6,43.0,18.89
40,0,19.533333333333296,43.0,18.8081818181818
40,0,19.5,43.09,18.79
40,0,19.5,43.09,18.79
50,0,19.5,43.145,18.79
50,0,19.5,43.2,18.775
50,0,19.426666666666698,43.2,18.7
30,0,19.39,43.2,18.7
20,0,19.39,43.26,18.7
30,0,19.39,43.29,18.690909090909095
20,0,19.39,43.3633333333333,18.677777777777802
40,0,19.39,43.4,18.6428571428571
50,0,19.323333333333295,43.4666666666667,18.6
60,0,19.29,43.5,18.6
50,0,19.29,43.56,18.6
40,0,19.29,43.59,18.588888888888896
40,0,19.29,43.59,18.5
50,0,19.29,43.7,18.5
40,0,19.29,43.76,18.5
40,0,19.2,43.7,18.5
50,0,19.2,43.76,18.5
50,0,19.2,43.79,18.5
50,0,19.2,43.8633333333333,18.5
40,0,19.2,43.9,18.4830769230769
30,0,19.1,43.9333333333333,18.493888888888897
20,0,19.1,44.0,18.4205555555556
20,0,19.1,44.0,18.396111111111104
20,0,19.1,44.0,18.39
50,0,19.1,44.09,18.39
50,0,19.1,44.09,18.3718181818182
50,0,19.033333333333296,44.03,18.307647058823495
40,0,19.033333333333296,44.09,18.342941176470603
40,0,19.0,44.09,18.34
50,0,19.0,44.09,18.29
40,0,19.0,44.09,18.29
50,0,19.0,44.1633333333333,18.29
50,0,18.963333333333296,44.2,18.273125
50,0,18.89,44.2,18.29
40,0,18.89,44.2,18.245
40,0,18.89,44.2,18.2
50,0,18.89,44.23,18.2
20,0,18.89,44.29,18.2
20,0,18.89,44.29,18.2
50,0,18.865,44.365,18.2
30,10,18.79,44.7233333333333,18.2
50,10,18.89,45.03,18.2
50,10,18.89,45.09,18.1727272727273
200,0,18.89,45.0,18.181818181818198
110,10,18.89,45.0,18.15
80,10,18.79,44.633333333333304,18.1
50,0,18.79,44.5,18.1
50,0,18.79,44.59,18.05
50,0,18.79,44.53,18.1
40,0,18.79,44.3633333333333,18.1
40,0,18.79,44.23,18.0
30,0,18.79,44.06,18.0
180,20,18.79,43.9333333333333,18.0
350,30,18.79,43.9,18.0
350,20,18.79,43.9,18.0
300,30,18.79,44.0,18.0
400,20,18.856666666666698,44.06,18.066666666666695
390,30,18.89,44.23,18.1333333333333
290,30,18.9975,44.3975,18.26
60,30,19.1,44.5,18.323333333333295
70,20,19.1333333333333,44.5,18.463333333333296
110,30,19.2,44.36,18.533333333333296
90,20,19.2,44.06,18.6
60,20,19.2,44.06,18.6
70,20,19.2,44.09,18.6666666666667
80,20,19.2,44.1633333333333,18.7
60,0,19.23,44.39,18.76
40,10,19.29,44.796666666666695,18.79
30,10,19.29,45.1633333333333,18.79
70,10,19.23,45.03,18.7
50,10,19.29,45.7333333333333,18.7
80,10,19.29,45.1266666666667,18.7
80,10,19.2,44.8333333333333,18.7
50,0,19.2,44.7,18.6333333333333
40,0,19.2,44.9,18.6
50,0,19.2,44.6933333333333,18.6
40,0,19.2,43.6,18.5
40,0,19.2,43.12,18.5
50,0,19.1333333333333,42.7666666666667,18.5
30,0,19.1666666666667,42.4666666666667,18.5
30,0,19.1,42.2666666666667,18.5
20,0,19.1,42.09,18.5
20,0,19.1,41.963333333333296,18.463333333333296
50,0,19.066666666666695,41.76,18.39
40,0,19.0,41.6266666666667,18.39
50,0,19.0,41.56,18.39
40,0,19.0,41.433333333333294,18.39
60,0,19.0,41.29,18.39
40,0,19.0,41.29,18.39
40,0,19.0,41.2,18.39
50,0,19.0,41.1266666666667,18.39
40,0,19.033333333333296,41.1266666666667,18.426666666666698
40,0,19.1,41.1266666666667,18.5
30,0,19.1333333333333,41.0,18.5
30,0,19.2,40.933333333333294,18.5
30,0,19.2,40.76,18.6333333333333
40,0,19.2675,40.745,18.7
80,0,19.29,40.56666666666669,18.73
70,0,19.39,40.53,18.79
80,0,19.39,40.59,18.79
70,0,19.39,40.6266666666667,18.79
80,0,19.39,40.7,18.79
80,0,19.323333333333295,40.73,18.79
100,0,19.39,40.863333333333294,18.7
90,0,19.356666666666698,40.79,18.7
100,10,19.29,40.73,18.7
90,0,19.29,40.6633333333333,18.7
110,0,19.29,40.6633333333333,18.7
90,10,19.29,40.79,18.7
100,0,19.29,40.73,18.7
100,10,19.29,40.79,18.7
110,0,19.29,40.73,18.7
100,10,19.26,40.7,18.7
90,10,19.26,40.76,18.7
90,10,19.29,40.9,18.7
180,10,19.29,40.8266666666667,18.7
140,0,19.29,41.15,18.79
100,10,19.323333333333295,42.1566666666667,18.79
110,20,19.39,42.09666666666671,18.823333333333295
340,20,19.39,41.73,18.823333333333295
380,20,19.39,41.6566666666667,18.89
210,30,19.39,41.59,18.89
150,20,19.463333333333296,41.59,19.0
330,20,19.5,41.6,19.0
420,20,19.5,41.3266666666667,19.0
330,20,19.533333333333296,41.29,19.0
130,20,19.6,41.43,19.1
130,20,19.6,41.5,19.1
110,20,19.6,41.56,19.1666666666667
250,10,19.6,41.59,19.1333333333333
520,0,19.6,41.53,19.1333333333333
360,0,19.6,41.5,19.1
330,0,19.6,41.6933333333333,19.1
310,0,19.6,42.0,19.1
270,0,19.6,42.0,19.1
230,0,19.6,42.145,19.066666666666695
170,10,19.6,42.2,19.0
60,0,19.6,42.06666666666669,19.0
30,0,19.5,42.0,19.0
30,0,19.5,42.1333333333333,18.963333333333296
30,0,19.5,42.2,18.89
40,0,19.426666666666698,42.1266666666667,18.89
50,0,19.39,42.09,18.823333333333295
50,0,19.39,42.09,18.79
40,0,19.356666666666698,42.09,18.79
40,0,19.29,42.09,18.7
50,0,19.29,42.09,18.7
50,0,19.29,42.09,18.6333333333333
40,0,19.2,42.06,18.6
60,0,19.2,42.06,18.6
40,0,19.2,42.09,18.6
40,0,19.1333333333333,42.09,18.533333333333296
50,0,19.1,42.09,18.5
40,0,19.1,42.09,18.5
30,0,19.1,42.09,18.463333333333296
30,0,19.0,42.0,18.39
30,0,19.0,42.06,18.39
40,0,19.0,42.09,18.39
40,0,19.0,42.09,18.29
50,0,18.963333333333296,42.09,18.29
40,0,18.89,42.1633333333333,18.29
40,0,18.89,42.2,18.29
40,0,18.89,42.2,18.2
50,0,18.79,42.1266666666667,18.2
50,0,18.79,42.2,18.2
50,0,18.79,42.2,18.2
40,0,18.79,42.2,18.1333333333333
50,0,18.76,42.23,18.1
40,0,18.7,42.29,18.1
40,0,18.7,42.29,18.1
20,0,18.7,42.29,18.033333333333296
30,0,18.7,42.29,18.1
30,0,18.7,42.29,18.1
40,0,18.6666666666667,42.29,18.0
50,0,18.6,42.29,18.0
40,0,18.6,42.29,18.0
40,0,18.6,42.3266666666667,18.0
50,0,18.6,42.4,17.963333333333303
40,0,18.6,42.4,17.89
50,0,18.533333333333296,42.4,17.89
50,0,18.5,42.433333333333294,17.89
40,0,18.5,42.5,17.89
50,0,18.5,42.5,17.89
40,0,18.5,42.5,17.79
40,0,18.463333333333296,42.56,17.84
40,0,18.39,42.5,17.79
40,0,18.39,42.53,17.79
30,10,18.39,42.59,17.79
70,10,18.39,42.59,17.79
360,20,18.39,42.863333333333294,17.79
400,10,18.39,43.36,17.79
70,10,18.39,43.9666666666667,17.79
70,0,18.39,44.09,17.79
390,0,18.39,44.0225,17.79
100,0,18.39,43.9333333333333,17.760000000000005
80,10,18.39,43.76,17.7
70,0,18.39,43.7,17.7
170,10,18.39,43.59,17.7
360,0,18.39,43.53,17.7
180,10,18.39,43.3633333333333,17.7
130,0,18.39,43.29,17.79
70,20,18.426666666666698,43.326666666666696,17.79
70,10,18.5,43.4,17.926666666666698
180,20,18.533333333333296,43.4,18.025
170,20,18.533333333333296,43.2666666666667,18.1
390,30,18.6,43.29,18.23
420,20,18.6666666666667,43.49,18.29
340,20,18.7,43.633333333333304,18.39
550,10,18.7,43.4333333333333,18.39
690,10,18.79,43.7666666666667,18.5
620,10,18.79,43.6933333333333,18.566666666666695
610,10,18.823333333333295,43.26,18.6333333333333
490,10,18.9175,43.05,18.7
260,20,19.0,42.933333333333294,18.823333333333295
240,10,19.1,42.863333333333294,18.89
220,10,19.1666666666667,43.53,19.033333333333296
130,10,19.36,44.5666666666667,19.1666666666667
90,10,19.566666666666695,44.5,19.323333333333295
290,10,19.73,45.1233333333333,19.463333333333296
410,0,19.9966666666667,45.73,19.6333333333333
320,0,20.1,45.0566666666667,19.7
260,0,20.1666666666667,44.4633333333333,19.79
210,0,20.36,45.1933333333333,19.8925
210,0,20.566666666666695,44.726666666666695,20.066666666666695
140,0,20.823333333333295,44.3333333333333,20.1333333333333
60,0,20.963333333333296,43.866666666666696,20.26
50,0,21.1,43.5266666666667,20.29
60,0,21.1666666666667,43.0666666666667,20.29
50,0,21.2,42.1,20.39
60,0,21.2,41.6933333333333,20.463333333333296
140,0,21.23,41.59666666666671,20.5
270,0,21.29,41.565,20.566666666666695
200,0,21.356666666666698,41.29,20.6
60,0,21.356666666666698,40.8333333333333,20.6
50,0,21.356666666666698,40.6266666666667,20.73
60,0,21.5,40.56,20.79
80,0,21.5,40.433333333333294,20.89
50,0,21.6,40.26,20.963333333333296
40,0,21.6,40.1266666666667,21.0
50,0,21.6,40.06,21.066666666666695
50,0,21.6,40.0,21.1
40,0,21.533333333333296,40.0,21.075
30,0,21.533333333333296,39.933333333333294,21.0
30,0,21.5,39.79,21.0
200,0,21.5,39.73,20.926666666666698
450,0,21.39,39.59,20.89
400,0,21.39,39.7966666666667,20.823333333333295
740,0,21.39,40.56666666666669,20.79
910,0,21.463333333333296,41.6933333333333,20.856666666666698
610,10,21.6333333333333,45.1966666666667,20.926666666666698
510,10,21.76,47.13,21.1333333333333
190,0,21.945,45.3,21.29
110,10,22.0,43.9966666666667,21.356666666666698
100,0,22.066666666666695,43.1966666666667,21.5
90,10,22.1,42.363333333333294,21.566666666666695
110,10,22.1,41.89,21.6333333333333
100,0,22.1333333333333,41.43,21.7
110,10,22.2,41.1566666666667,21.7
100,10,22.1,40.8333333333333,21.7
790,10,22.1666666666667,40.5,21.7
380,10,22.2,40.6933333333333,21.7
360,10,22.26,41.8333333333333,21.7
360,10,22.323333333333295,42.5633333333333,21.7
100,10,22.463333333333296,47.7633333333333,21.73
100,10,22.73,46.86,21.79
90,10,22.79,45.5266666666667,21.823333333333295
90,20,22.79,44.8333333333333,21.89
110,10,22.73,44.1,21.79
140,30,22.7,43.296666666666695,21.79
110,20,22.7,42.89,21.7
100,20,22.7,43.0666666666667,21.7
110,20,22.7,43.07,21.7
130,20,22.7,42.6333333333333,21.76
140,30,22.73,41.93,21.79
130,20,22.79,41.79,21.79
120,20,22.79,41.79,21.79
100,10,22.79,41.73,21.856666666666698
80,0,22.79,41.56,21.89
50,10,22.79,41.5,21.89
50,0,22.926666666666698,41.033333333333296,22.1
50,0,23.066666666666695,40.42666666666669,22.175
40,0,23.2,40.1633333333333,22.26
50,0,23.26,40.09,22.39
50,0,23.39,40.06,22.463333333333296
50,0,23.39,40.0,22.6
40,0,23.5,40.0,22.6666666666667
30,0,23.566666666666695,39.933333333333294,22.7
30,0,23.6,39.79,22.7
40,0,23.6,39.73,22.73
40,0,23.6,39.6633333333333,22.79
50,0,23.6666666666667,39.6633333333333,22.79
60,0,23.7,39.59,22.79
50,0,23.7,39.56,22.79
60,0,23.7,39.433333333333294,22.79
50,0,23.79,39.26,22.79
50,0,23.79,39.2,22.79
50,0,23.79,39.1633333333333,22.79
50,0,23.73,39.09,22.79
50,0,23.7,39.09,22.79
50,0,23.7,39.03,22.79
60,0,23.7,39.09,22.7
50,0,23.6333333333333,39.03,22.7
50,0,23.6,39.03,22.7
50,0,23.6,39.09,22.6
50,0,23.5,39.09,22.6
40,0,23.426666666666698,39.09,22.5
50,0,23.39,39.23,22.426666666666698
40,0,23.323333333333295,39.363333333333294,22.39
30,0,23.29,39.5,22.323333333333295
40,0,23.23,39.433333333333294,22.26
30,0,23.2,39.5,22.2
60,0,23.1333333333333,39.433333333333294,22.1666666666667
50,0,23.1,39.45,22.1
50,0,23.0,39.4,22.0
40,0,22.926666666666698,39.4,21.926666666666698
50,0,22.89,39.433333333333294,21.89
60,0,22.823333333333295,39.5,21.823333333333295
50,0,22.79,39.53,21.76
50,0,22.73,39.59,21.7
50,0,22.6666666666667,39.56,21.7
50,0,22.6,39.5,21.625
40,0,22.566666666666695,39.5,21.533333333333296
50,0,22.5,39.5,21.5
50,0,22.39,39.4,21.426666666666698
50,0,22.39,39.4,21.39
60,0,22.356666666666698,39.863333333333294,21.323333333333295
50,0,22.29,39.79,21.29
40,0,22.2,39.7,21.29
50,0,22.2,39.7,21.2
50,0,22.1666666666667,39.7,21.2
50,0,22.1,39.7,21.1
30,0,22.066666666666695,39.6633333333333,21.1
70,10,22.0,39.6175,21.0
50,10,21.926666666666698,39.9,21.0
50,10,21.89,40.223333333333294,20.963333333333296
50,10,21.89,40.2966666666667,20.89
50,0,21.856666666666698,40.363333333333294,20.89
40,10,21.79,40.09666666666671,20.823333333333295
50,10,21.6333333333333,36.6666666666667,20.296666666666695
50,10,21.36,34.4,19.63
150,10,21.066666666666695,33.43333333333331,19.15
390,20,21.0,33.56,19.323333333333295
390,10,20.89,33.86,19.53
380,10,20.89,34.1933333333333,19.66
400,10,20.79,34.6666666666667,19.7
370,10,20.79,35.1933333333333,19.7
310,10,20.76,35.92666666666669,19.79
40,10,20.76,36.4,19.856666666666698
50,0,20.79,36.6933333333333,19.926666666666698
70,10,20.79,37.02666666666669,20.0
60,10,20.89,37.36,20.033333333333296
90,10,20.89,37.6333333333333,20.1
60,10,20.89,37.8,20.2
60,20,20.89,38.06666666666669,20.2
100,0,20.89,38.2,20.29
380,10,20.926666666666698,38.29,20.29
390,10,21.0,38.363333333333294,20.29
130,10,21.0,38.433333333333294,20.356666666666698
60,0,21.0,38.56,20.39
60,10,20.963333333333296,38.59,20.39
50,10,20.89,38.59,20.39
60,10,20.89,38.52666666666669,20.29
60,10,20.89,38.4,20.29
240,0,20.89,38.5,20.35111111111109
80,10,20.89,38.893333333333295,20.445
80,0,21.0,39.79,20.5833333333333
400,0,21.0,39.99,20.625
400,0,21.1,39.52666666666669,20.710625
460,10,21.1,39.3266666666667,20.79
170,0,21.2,39.1633333333333,20.85875
210,0,21.2,39.03,20.89
190,0,21.29,38.995,20.9327777777778
70,0,21.323333333333295,38.76,21.038888888888895
80,0,21.39,38.7,21.088888888888896
60,10,21.426666666666698,38.79,21.111111111111104
70,0,21.5,38.79,21.1722222222222
60,0,21.5,38.8266666666667,21.2
70,0,21.5,39.02666666666669,21.275
60,0,21.6,39.06,21.29
60,0,21.6666666666667,38.933333333333294,21.29
60,0,21.73,38.6933333333333,21.29
60,0,21.79,38.36,21.357222222222198
60,0,21.823333333333295,38.29,21.4877777777778
50,10,21.963333333333296,38.29,21.561111111111092
50,0,22.033333333333296,38.1266666666667,21.65
60,0,22.1666666666667,38.2,21.715
50,0,22.2,38.09,21.79
50,0,22.26,38.09,21.83
70,0,22.323333333333295,38.06,21.8677777777778
50,0,22.323333333333295,38.0,21.8677777777778
60,0,22.323333333333295,37.9666666666667,21.89
60,0,22.39,37.8725,21.8677777777778
90,0,22.39,37.863333333333294,21.8677777777778
100,10,22.39,37.79,21.89
90,0,22.39,37.79,21.89
100,10,22.39,37.79,21.89
110,0,22.39,37.79,21.89
100,10,22.39,37.79,21.89
80,0,22.39,37.79,21.89
110,10,22.39,37.86,21.89
260,10,22.39,38.6666666666667,21.89
350,10,22.463333333333296,39.95666666666669,21.89
500,10,22.39,42.03,21.89
370,10,22.426666666666698,43.39,21.956
330,20,22.5,45.6633333333333,22.0
100,10,22.5,47.1933333333333,22.0
110,20,22.566666666666695,46.86,22.0
140,20,22.6,44.8933333333333,22.0
310,30,22.6,43.8933333333333,22.0
330,20,22.6,42.49666666666669,22.0
190,20,22.6,41.7566666666667,22.0
160,20,22.6,41.05,22.0
160,30,22.7,40.863333333333294,22.0
480,10,22.76,40.73,22.1
280,20,22.89,40.59,22.1975
130,20,22.963333333333296,40.463333333333296,22.29
150,20,23.033333333333296,40.223333333333294,22.39
140,20,23.1,39.963333333333296,22.39
130,20,23.2,39.723333333333294,22.39
130,20,23.2,39.53,22.39
340,20,23.2,39.3333333333333,22.5
490,10,23.2,39.1266666666667,22.426666666666698
230,10,23.2,39.06,22.39
360,10,23.2,38.933333333333294,22.463333333333296
410,10,23.26,39.0,22.5
150,0,23.26,39.1933333333333,22.426666666666698
80,10,23.2,39.23,22.39
80,10,23.2,39.363333333333294,22.39
70,10,23.2,39.5,22.39
70,10,23.2,39.56,22.39
70,0,23.1,39.6266666666667,22.323333333333295
60,10,23.1,39.7,22.323333333333295
60,10,23.1,39.76,22.26
50,10,23.0,39.8,22.2
50,0,23.0,40.0,22.15
50,0,22.89,40.1266666666667,22.1
30,0,22.89,40.2,22.033333333333296
20,0,22.79,40.09,22.0
40,0,22.79,40.1633333333333,22.0
50,0,22.76,40.23,21.89
50,0,22.7,40.29,21.89
50,0,22.6666666666667,40.29,21.856666666666698
60,0,22.6,40.29,21.79
50,0,22.6,40.29,21.7
60,0,22.6,40.29,21.7
50,0,22.5,40.29,21.6666666666667
40,0,22.5,40.29,21.6
50,0,22.39,40.2,21.5
50,0,22.39,40.2,21.5
50,0,22.356666666666698,40.2,21.463333333333296
50,0,22.29,40.2,21.39
40,0,22.29,40.2,21.356666666666698
30,0,22.2,40.09,21.29
30,0,22.2,40.09,21.29
40,0,22.1666666666667,40.09,21.2675
50,0,22.1,40.09,21.2
50,0,22.066666666666695,40.06,21.1
50,0,22.0,40.0,21.1
50,0,21.963333333333296,40.0,21.066666666666695
60,0,21.89,40.0,21.0
50,0,21.89,40.0,21.0
50,0,21.89,40.0,20.926666666666698
40,0,21.79,39.9,20.89
50,0,21.79,39.9,20.89
50,0,21.76,39.9,20.79
50,0,21.7,39.9,20.79
50,0,21.7,39.9,20.79
30,0,21.6333333333333,39.8266666666667,20.73
30,0,21.6,39.9,20.7
30,0,21.6,39.9,20.7
50,0,21.5,39.9,20.6666666666667
50,0,21.5,39.925,20.6
40,0,21.426666666666698,39.933333333333294,20.6
60,0,21.39,39.9,20.575
60,0,21.39,39.9,20.5
50,0,21.356666666666698,39.933333333333294,20.5
50,0,21.29,40.0,20.5
50,0,21.29,40.03,20.463333333333296
220,0,21.23,40.03,20.39
390,10,21.2,39.863333333333294,20.356666666666698
380,10,21.2,39.79,20.29
390,10,21.2,39.963333333333296,20.315
390,10,21.2,40.223333333333294,20.39
240,10,21.29,40.53,20.426666666666698
40,10,21.356666666666698,40.6633333333333,20.566666666666695
70,10,21.5,40.7,20.6333333333333
50,0,21.5,41.033333333333296,20.7
50,0,21.5,41.8,20.79
70,0,21.566666666666695,42.52666666666669,20.856666666666698
60,0,21.6333333333333,42.1,20.926666666666698
70,0,21.7,41.6333333333333,21.0
60,0,21.745,40.995,21.033333333333296
50,0,21.79,40.79,21.1
60,0,21.856666666666698,40.863333333333294,21.15
60,0,21.89,40.79,21.2
80,0,21.89,40.79,21.26
100,0,21.89,40.8266666666667,21.29
60,0,21.963333333333296,41.1,21.356666666666698
70,0,22.0,41.3333333333333,21.39
60,0,22.0,41.1266666666667,21.39
60,0,22.033333333333296,41.03,21.5
50,0,22.1,41.03,21.5
50,0,22.1,41.0,21.5
40,0,22.1666666666667,41.06,21.5
50,0,22.2,41.09,21.6
70,0,22.2,41.1633333333333,21.533333333333296
60,0,22.1666666666667,41.23,21.6
60,0,22.1666666666667,41.29,21.6
80,0,22.1,41.29,21.566666666666695
80,0,22.1,41.29,21.5
80,0,22.1,41.29,21.5
90,0,22.075,40.045,21.3
90,0,22.0,39.223333333333294,21.1
100,0,22.0,39.6266666666667,21.1
80,0,22.0,39.56666666666669,21.1
90,0,21.963333333333296,39.56,21.1
80,0,21.89,39.433333333333294,21.1
80,0,21.89,39.53,21.1
80,0,21.89,39.59,21.1
80,0,21.89,39.5,21.1
90,0,21.89,39.5,21.1
70,0,21.89,39.4666666666667,21.0
50,0,21.89,39.4,21.0
60,10,21.89,39.4,20.963333333333296
70,10,21.89,39.4,20.963333333333296
80,10,21.89,39.26,20.89
70,10,21.823333333333295,39.1266666666667,20.89
370,10,21.76,39.06,20.79
410,20,21.7,38.933333333333294,20.79
250,10,21.7,38.93,20.76
80,10,21.7,38.79,20.7
70,10,21.65,38.69,20.7
70,0,21.6,38.56,20.7
80,10,21.6,38.5,20.7
70,20,21.5,38.4,20.6
80,20,21.5,38.3266666666667,20.6
80,20,21.5,38.26,20.566666666666695
150,20,21.426666666666698,38.1266666666667,20.5
380,30,21.39,38.23,20.463333333333296
290,30,21.39,38.43,20.463333333333296
270,20,21.39,38.56,20.39
420,30,21.323333333333295,38.56,20.39
280,20,21.29,38.5,20.463333333333296
300,20,21.29,38.56,20.463333333333296
350,30,21.426666666666698,39.0,20.533333333333296
