Appliances,lights,T1
50,0,20.0
60,0,20.0
60,0,20.0
60,0,20.0
370,0,20.0
200,0,20.0
70,0,20.0
50,0,20.0
40,0,20.0
40,0,19.963333333333296
30,0,19.963333333333296
30,0,20.0
30,0,20.066666666666695
30,0,20.1
40,0,20.1
50,0,20.1
40,0,20.1
40,0,20.1
40,0,20.1
60,0,20.066666666666695
60,10,20.0
210,20,20.0
380,20,20.033333333333296
370,40,20.033333333333296
230,30,20.0
80,40,20.0
90,30,20.0
70,20,20.0
40,10,20.033333333333296
40,0,20.1
30,0,20.1
50,0,20.1
50,0,20.1
60,0,20.1
50,0,20.1
60,0,20.1
60,0,20.033333333333296
60,0,20.1
50,0,20.066666666666695
50,0,20.0
50,0,20.0
50,0,20.0
50,0,19.926666666666698
60,0,19.89
60,0,19.89
40,0,19.89
30,0,19.823333333333295
30,20,19.79
30,10,19.79
40,0,19.76
50,10,19.7
50,0,19.7
50,0,19.6333333333333
40,0,19.6666666666667
50,0,19.6
40,0,19.6
40,0,19.533333333333296
40,0,19.5
40,0,19.5
50,0,19.5
50,0,19.5
50,0,19.426666666666698
30,0,19.39
20,0,19.39
30,0,19.39
20,0,19.39
40,0,19.39
50,0,19.323333333333295
60,0,19.29
50,0,19.29
40,0,19.29
40,0,19.29
50,0,19.29
40,0,19.29
40,0,19.2
50,0,19.2
50,0,19.2
50,0,19.2
40,0,19.2
30,0,19.1
20,0,19.1
20,0,19.1
20,0,19.1
50,0,19.1
50,0,19.1
50,0,19.033333333333296
40,0,19.033333333333296
40,0,19.0
50,0,19.0
40,0,19.0
50,0,19.0
50,0,18.963333333333296
50,0,18.89
40,0,18.89
40,0,18.89
50,0,18.89
20,0,18.89
20,0,18.89
50,0,18.865
30,10,18.79
50,10,18.89
50,10,18.89
200,0,18.89
110,10,18.89
80,10,18.79
50,0,18.79
50,0,18.79
50,0,18.79
40,0,18.79
40,0,18.79
30,0,18.79
180,20,18.79
350,30,18.79
350,20,18.79
300,30,18.79
400,20,18.856666666666698
390,30,18.89
290,30,18.9975
60,30,19.1
70,20,19.1333333333333
110,30,19.2
90,20,19.2
60,20,19.2
70,20,19.2
80,20,19.2
60,0,19.23
40,10,19.29
30,10,19.29
70,10,19.23
50,10,19.29
80,10,19.29
80,10,19.2
50,0,19.2
40,0,19.2
50,0,19.2
40,0,19.2
40,0,19.2
50,0,19.1333333333333
30,0,19.1666666666667
30,0,19.1
20,0,19.1
20,0,19.1
50,0,19.066666666666695
40,0,19.0
50,0,19.0
40,0,19.0
60,0,19.0
40,0,19.0
40,0,19.0
50,0,19.0
40,0,19.033333333333296
40,0,19.1
30,0,19.1333333333333
30,0,19.2
30,0,19.2
40,0,19.2675
80,0,19.29
70,0,19.39
80,0,19.39
70,0,19.39
80,0,19.39
80,0,19.323333333333295
100,0,19.39
90,0,19.356666666666698
100,10,19.29
90,0,19.29
110,0,19.29
90,10,19.29
100,0,19.29
100,10,19.29
110,0,19.29
100,10,19.26
90,10,19.26
90,10,19.29
180,10,19.29
140,0,19.29
100,10,19.323333333333295
110,20,19.39
340,20,19.39
380,20,19.39
210,30,19.39
150,20,19.463333333333296
330,20,19.5
420,20,19.5
330,20,19.533333333333296
130,20,19.6
130,20,19.6
110,20,19.6
250,10,19.6
520,0,19.6
360,0,19.6
330,0,19.6
310,0,19.6
270,0,19.6
230,0,19.6
170,10,19.6
60,0,19.6
30,0,19.5
30,0,19.5
30,0,19.5
40,0,19.426666666666698
50,0,19.39
50,0,19.39
40,0,19.356666666666698
40,0,19.29
50,0,19.29
50,0,19.29
40,0,19.2
60,0,19.2
40,0,19.2
40,0,19.1333333333333
50,0,19.1
40,0,19.1
30,0,19.1
30,0,19.0
30,0,19.0
40,0,19.0
40,0,19.0
50,0,18.963333333333296
40,0,18.89
40,0,18.89
40,0,18.89
50,0,18.79
50,0,18.79
50,0,18.79
40,0,18.79
50,0,18.76
40,0,18.7
40,0,18.7
20,0,18.7
30,0,18.7
30,0,18.7
40,0,18.6666666666667
50,0,18.6
40,0,18.6
40,0,18.6
50,0,18.6
40,0,18.6
50,0,18.533333333333296
50,0,18.5
40,0,18.5
50,0,18.5
40,0,18.5
40,0,18.463333333333296
40,0,18.39
40,0,18.39
30,10,18.39
70,10,18.39
360,20,18.39
400,10,18.39
70,10,18.39
70,0,18.39
390,0,18.39
100,0,18.39
80,10,18.39
70,0,18.39
170,10,18.39
360,0,18.39
180,10,18.39
130,0,18.39
70,20,18.426666666666698
70,10,18.5
180,20,18.533333333333296
170,20,18.533333333333296
390,30,18.6
420,20,18.6666666666667
340,20,18.7
550,10,18.7
690,10,18.79
620,10,18.79
610,10,18.823333333333295
490,10,18.9175
260,20,19.0
240,10,19.1
220,10,19.1666666666667
130,10,19.36
90,10,19.566666666666695
290,10,19.73
410,0,19.9966666666667
320,0,20.1
260,0,20.1666666666667
210,0,20.36
210,0,20.566666666666695
140,0,20.823333333333295
60,0,20.963333333333296
50,0,21.1
60,0,21.1666666666667
50,0,21.2
60,0,21.2
140,0,21.23
270,0,21.29
200,0,21.356666666666698
60,0,21.356666666666698
50,0,21.356666666666698
60,0,21.5
80,0,21.5
50,0,21.6
40,0,21.6
50,0,21.6
50,0,21.6
40,0,21.533333333333296
30,0,21.533333333333296
30,0,21.5
200,0,21.5
450,0,21.39
400,0,21.39
740,0,21.39
910,0,21.463333333333296
610,10,21.6333333333333
510,10,21.76
190,0,21.945
110,10,22.0
100,0,22.066666666666695
90,10,22.1
110,10,22.1
100,0,22.1333333333333
110,10,22.2
100,10,22.1
790,10,22.1666666666667
380,10,22.2
360,10,22.26
360,10,22.323333333333295
100,10,22.463333333333296
100,10,22.73
90,10,22.79
90,20,22.79
110,10,22.73
140,30,22.7
110,20,22.7
100,20,22.7
110,20,22.7
130,20,22.7
140,30,22.73
130,20,22.79
120,20,22.79
100,10,22.79
80,0,22.79
50,10,22.79
50,0,22.926666666666698
50,0,23.066666666666695
40,0,23.2
50,0,23.26
50,0,23.39
50,0,23.39
40,0,23.5
30,0,23.566666666666695
30,0,23.6
40,0,23.6
40,0,23.6
50,0,23.6666666666667
60,0,23.7
50,0,23.7
60,0,23.7
50,0,23.79
50,0,23.79
50,0,23.79
50,0,23.73
50,0,23.7
50,0,23.7
60,0,23.7
50,0,23.6333333333333
50,0,23.6
50,0,23.6
50,0,23.5
40,0,23.426666666666698
50,0,23.39
40,0,23.323333333333295
30,0,23.29
40,0,23.23
30,0,23.2
60,0,23.1333333333333
50,0,23.1
50,0,23.0
40,0,22.926666666666698
50,0,22.89
60,0,22.823333333333295
50,0,22.79
50,0,22.73
50,0,22.6666666666667
50,0,22.6
40,0,22.566666666666695
50,0,22.5
50,0,22.39
50,0,22.39
60,0,22.356666666666698
50,0,22.29
40,0,22.2
50,0,22.2
50,0,22.1666666666667
50,0,22.1
30,0,22.066666666666695
70,10,22.0
50,10,21.926666666666698
50,10,21.89
50,10,21.89
50,0,21.856666666666698
40,10,21.79
50,10,21.6333333333333
50,10,21.36
150,10,21.066666666666695
390,20,21.0
390,10,20.89
380,10,20.89
400,10,20.79
370,10,20.79
310,10,20.76
40,10,20.76
50,0,20.79
70,10,20.79
60,10,20.89
90,10,20.89
60,10,20.89
60,20,20.89
100,0,20.89
380,10,20.926666666666698
390,10,21.0
130,10,21.0
60,0,21.0
60,10,20.963333333333296
50,10,20.89
60,10,20.89
60,10,20.89
240,0,20.89
80,10,20.89
80,0,21.0
400,0,21.0
400,0,21.1
460,10,21.1
170,0,21.2
210,0,21.2
190,0,21.29
70,0,21.323333333333295
80,0,21.39
60,10,21.426666666666698
70,0,21.5
60,0,21.5
70,0,21.5
60,0,21.6
60,0,21.6666666666667
60,0,21.73
60,0,21.79
60,0,21.823333333333295
50,10,21.963333333333296
50,0,22.033333333333296
60,0,22.1666666666667
50,0,22.2
50,0,22.26
70,0,22.323333333333295
50,0,22.323333333333295
60,0,22.323333333333295
60,0,22.39
90,0,22.39
100,10,22.39
90,0,22.39
100,10,22.39
110,0,22.39
100,10,22.39
80,0,22.39
110,10,22.39
260,10,22.39
350,10,22.463333333333296
500,10,22.39
370,10,22.426666666666698
330,20,22.5
100,10,22.5
110,20,22.566666666666695
140,20,22.6
310,30,22.6
330,20,22.6
190,20,22.6
160,20,22.6
160,30,22.7
480,10,22.76
280,20,22.89
130,20,22.963333333333296
150,20,23.033333333333296
140,20,23.1
130,20,23.2
130,20,23.2
340,20,23.2
490,10,23.2
230,10,23.2
360,10,23.2
410,10,23.26
150,0,23.26
80,10,23.2
80,10,23.2
70,10,23.2
70,10,23.2
70,0,23.1
60,10,23.1
60,10,23.1
50,10,23.0
50,0,23.0
50,0,22.89
30,0,22.89
20,0,22.79
40,0,22.79
50,0,22.76
50,0,22.7
50,0,22.6666666666667
60,0,22.6
50,0,22.6
60,0,22.6
50,0,22.5
40,0,22.5
50,0,22.39
50,0,22.39
50,0,22.356666666666698
50,0,22.29
40,0,22.29
30,0,22.2
30,0,22.2
40,0,22.1666666666667
50,0,22.1
50,0,22.066666666666695
50,0,22.0
50,0,21.963333333333296
60,0,21.89
50,0,21.89
50,0,21.89
40,0,21.79
50,0,21.79
50,0,21.76
50,0,21.7
50,0,21.7
30,0,21.6333333333333
30,0,21.6
30,0,21.6
50,0,21.5
50,0,21.5
40,0,21.426666666666698
60,0,21.39
60,0,21.39
50,0,21.356666666666698
50,0,21.29
50,0,21.29
220,0,21.23
390,10,21.2
380,10,21.2
390,10,21.2
390,10,21.2
240,10,21.29
40,10,21.356666666666698
70,10,21.5
50,0,21.5
50,0,21.5
70,0,21.566666666666695
60,0,21.6333333333333
70,0,21.7
60,0,21.745
50,0,21.79
60,0,21.856666666666698
60,0,21.89
80,0,21.89
100,0,21.89
60,0,21.963333333333296
70,0,22.0
60,0,22.0
60,0,22.033333333333296
50,0,22.1
50,0,22.1
40,0,22.1666666666667
50,0,22.2
70,0,22.2
60,0,22.1666666666667
60,0,22.1666666666667
80,0,22.1
80,0,22.1
80,0,22.1
90,0,22.075
90,0,22.0
100,0,22.0
80,0,22.0
90,0,21.963333333333296
80,0,21.89
80,0,21.89
80,0,21.89
80,0,21.89
90,0,21.89
70,0,21.89
50,0,21.89
60,10,21.89
70,10,21.89
80,10,21.89
70,10,21.823333333333295
370,10,21.76
410,20,21.7
250,10,21.7
80,10,21.7
70,10,21.65
70,0,21.6
80,10,21.6
70,20,21.5
80,20,21.5
80,20,21.5
150,20,21.426666666666698
380,30,21.39
290,30,21.39
270,20,21.39
420,30,21.323333333333295
280,20,21.29
300,20,21.29
350,30,21.426666666666698
270,20,21.566666666666695
560,20,21.73
1080,30,21.93
750,20,22.1633333333333
390,10,22.4966666666667
350,10,22.893333333333295
340,10,23.175
290,20,23.2
230,40,23.29
120,30,23.29
110,40,23.29
100,40,23.29
110,40,23.29
130,40,23.29
140,30,23.29
110,30,23.29
100,20,23.29
100,30,23.29
110,20,23.29
110,20,23.23
190,20,23.26
450,20,23.2
210,20,23.1666666666667
100,30,23.1
90,20,23.066666666666695
90,20,23.0
80,20,22.89
70,20,22.856666666666698
70,10,22.79
70,10,22.79
60,0,22.73
30,0,22.6
30,0,22.6
30,0,22.5
40,0,22.426666666666698
50,0,22.39
60,0,22.323333333333295
50,0,22.29
50,0,22.23
50,0,22.2
50,0,22.1333333333333
50,0,22.066666666666695
50,0,22.0
50,0,22.0
60,0,21.926666666666698
50,0,21.89
60,0,21.865
50,0,21.79
40,0,21.76
30,0,21.7
30,0,21.7
30,0,21.6333333333333
60,0,21.6
50,0,21.6
60,0,21.5
50,0,21.5
50,0,21.5
50,0,21.426666666666698
40,0,21.39
60,0,21.39
50,0,21.29
60,0,21.29
50,0,21.29
50,0,21.23
40,0,21.2
50,0,21.2
50,0,21.1
30,0,21.1
40,0,21.1
30,0,21.0
50,0,21.0
50,0,21.0
40,0,21.0
50,0,20.963333333333296
50,0,20.89
170,0,20.89
400,0,20.89
390,10,20.79
370,10,20.79
390,10,20.79
370,10,20.79
380,10,20.79
100,10,20.79
90,20,20.79
470,10,20.79
320,0,20.79
270,0,20.823333333333295
260,0,20.89
230,0,20.926666666666698
470,10,21.0
400,0,21.1333333333333
290,0,21.2
100,0,21.39
90,0,21.463333333333296
90,0,21.6333333333333
90,0,21.7
90,0,21.73
100,0,21.856666666666698
80,0,21.89
180,0,21.963333333333296
440,0,22.033333333333296
300,0,22.1
250,0,22.1
280,0,22.033333333333296
460,0,22.033333333333296
120,0,22.1
120,0,22.1
110,0,22.1
130,0,22.1
110,0,22.033333333333296
120,0,22.1
120,0,22.1
120,0,22.1
130,0,22.066666666666695
120,0,22.0
120,0,22.0
410,0,22.0
420,0,22.0
140,0,21.926666666666698
60,0,21.856666666666698
60,0,21.73
70,10,21.6333333333333
80,0,21.7
100,0,21.7
80,0,21.7
80,0,21.7
70,0,21.7
80,0,21.7
80,0,21.7
90,0,21.76
80,0,21.73
80,0,21.79
80,0,21.7
80,0,21.7
80,10,21.7
90,10,21.7
130,10,21.6
380,20,21.6
800,10,21.5
790,10,21.566666666666695
540,20,21.6333333333333
120,20,21.7
110,20,21.79
160,30,21.856666666666698
140,20,21.926666666666698
550,20,22.025
530,10,22.1
100,0,22.23
100,10,22.29
90,10,22.356666666666698
90,10,22.29
100,10,22.29
130,10,22.29
110,10,22.39
120,20,22.39
100,30,22.5
110,20,22.426666666666698
100,20,22.426666666666698
120,20,22.426666666666698
250,30,22.5
110,10,22.5
110,0,22.5
150,10,22.5
110,20,22.5
50,10,22.5
40,10,22.445
50,10,22.39
50,10,22.323333333333295
70,10,22.29
60,20,22.29
60,10,22.2
70,10,22.2
50,10,22.1
70,10,22.1
60,10,22.0
70,20,21.926666666666698
60,10,21.89
60,10,21.823333333333295
50,10,21.79
40,10,21.73
30,20,21.6666666666667
40,0,21.6
50,0,21.566666666666695
50,0,21.5
40,0,21.463333333333296
50,10,21.39
40,0,21.323333333333295
40,0,21.26
40,0,21.2
60,0,21.1666666666667
50,0,21.1
50,0,21.0
40,0,21.0
40,0,20.963333333333296
20,0,20.89
30,0,20.89
20,0,20.89
50,0,20.79
60,0,20.79
40,0,20.76
50,0,20.7
40,0,20.7
40,0,20.6333333333333
50,0,20.6
50,0,20.575
40,0,20.5
50,0,20.5
40,0,20.426666666666698
50,0,20.39
30,0,20.39
20,0,20.29
30,0,20.29
30,0,20.29
50,0,20.23
80,0,20.2
40,0,20.2
50,10,20.2
40,0,20.2
70,10,20.1333333333333
100,0,20.1333333333333
60,20,20.1
50,0,20.1
40,0,20.1
40,0,20.033333333333296
40,0,20.05
20,0,20.0
20,0,20.0
30,0,20.0
50,0,19.926666666666698
50,0,19.89
40,0,19.89
40,0,19.856666666666698
40,0,19.79
40,0,19.79
50,0,19.79
50,0,19.76
50,0,19.7
40,0,19.7
40,0,19.7
20,0,19.7
20,0,19.7
30,0,19.6
40,0,19.6
50,0,19.6
50,0,19.6
40,0,19.6
40,0,19.6
50,0,19.6
40,0,19.6
40,0,19.533333333333296
50,0,19.5
40,0,19.5
50,0,19.5
40,0,19.5
20,0,19.5
20,0,19.5
30,0,19.5
40,0,19.5
50,0,19.39
50,0,19.39
50,0,19.463333333333296
40,0,19.39
40,0,19.39
40,0,19.39
40,0,19.39
40,0,19.39
50,0,19.39
50,0,19.29
30,0,19.356666666666698
20,0,19.29
30,0,19.29
30,0,19.323333333333295
40,0,19.323333333333295
50,0,19.29
50,0,19.29
50,0,19.29
40,0,19.29
40,0,19.29
50,0,19.29
40,0,19.2
40,0,19.2
40,0,19.2
40,0,19.2
20,0,19.1333333333333
30,0,19.1
30,10,19.1
70,10,19.1
230,10,19.1
660,10,19.1
510,0,19.1
300,10,19.1
300,20,19.1
350,10,19.23
90,10,19.356666666666698
100,0,19.696666666666697
130,10,19.963333333333296
200,0,20.1
480,0,20.1
430,10,20.1333333333333
630,10,20.2
600,10,20.29
470,20,20.365
740,10,20.463333333333296
600,0,20.5
560,10,20.566666666666695
440,20,20.6
280,10,20.6666666666667
110,20,20.73
80,10,20.79
70,20,20.76
50,10,20.76
50,10,20.76
60,20,20.7
60,10,20.7
50,10,20.7
60,20,20.6666666666667
50,10,20.6
50,10,20.6
40,20,20.533333333333296
30,10,20.5
40,10,20.5
50,20,20.39
50,0,20.39
50,0,20.323333333333295
40,0,20.29
50,0,20.23
40,0,20.2
50,0,20.1333333333333
40,0,20.1
50,0,20.1
50,0,20.0
40,0,20.0
40,0,19.89
30,0,19.89
20,0,19.79
20,0,19.79
40,0,19.7
50,0,19.7
40,0,19.6666666666667
50,0,19.6
50,0,19.55
40,0,19.5
40,0,19.5
50,0,19.39
50,0,19.39
50,0,19.39
40,0,19.39
50,0,19.29
20,0,19.29
30,0,19.29
10,0,19.23
40,0,19.2
60,0,19.2
40,0,19.2
50,0,19.1333333333333
40,0,19.1
40,0,19.1
40,0,19.066666666666695
70,10,19.0
50,0,19.0
50,0,19.0
40,10,19.0
30,0,19.0
30,10,19.0
20,10,18.963333333333296
50,0,18.89
50,0,18.89
50,0,18.89
50,10,18.89
40,0,18.89
40,0,18.89
50,0,18.89
40,0,18.79
40,0,18.79
40,0,18.79
40,0,18.79
20,0,18.7
30,0,18.7
30,0,18.7
40,0,18.7
40,0,18.7
40,0,18.625
50,0,18.6
50,0,18.6
50,0,18.6
40,0,18.6
40,0,18.6
40,0,18.6
20,0,18.6
20,0,18.7
30,0,18.76
50,0,18.79
40,0,18.79
50,0,18.79
40,0,18.856666666666698
40,0,18.89
40,0,18.89
40,0,18.89
50,0,18.926666666666698
50,0,19.0
50,0,19.0
30,0,19.0
30,0,19.0
20,0,19.0
20,0,19.0
50,0,19.0
50,0,19.0
50,0,19.066666666666695
40,0,19.1
40,0,19.1
40,0,19.15
40,0,19.2
40,0,19.23
50,0,19.29
60,0,19.29
20,0,19.29
20,0,19.34
30,0,19.39
40,0,19.39
40,0,19.29
50,0,19.29
40,0,19.29
50,0,19.29
50,0,19.26
40,0,19.2
40,0,19.2
50,0,19.2
60,10,19.2
190,20,19.2
350,10,19.1666666666667
210,10,19.1
140,10,19.066666666666695
110,10,19.0
120,0,19.0
120,10,19.0
110,10,19.0
260,10,19.0
550,0,19.0
480,10,19.033333333333296
360,10,19.1666666666667
360,20,19.2
290,10,19.26
460,10,19.323333333333295
570,20,19.39
470,20,19.39
450,20,19.39
450,10,19.5
380,20,19.566666666666695
110,10,19.6333333333333
110,10,19.7
110,20,19.7
100,10,19.7
110,10,19.73
120,0,19.79
70,10,19.79
50,0,19.79
40,0,19.79
30,0,19.79
30,0,19.79
50,0,19.79
50,0,19.79
50,0,19.79
40,0,19.79
50,0,19.79
40,0,19.79
40,0,19.79
50,0,19.79
40,0,19.7
30,0,19.7
30,0,19.7
30,0,19.6333333333333
30,0,19.6
50,0,19.6
40,0,19.566666666666695
50,0,19.5
50,0,19.426666666666698
50,0,19.39
40,0,19.39
40,0,19.356666666666698
40,0,19.29
30,0,19.26
20,0,19.2
20,0,19.2
30,0,19.1333333333333
50,0,19.1
50,0,19.1
40,0,19.0
50,0,19.0
40,0,18.963333333333296
40,0,18.89
50,0,18.89
50,0,18.823333333333295
50,0,18.79
30,0,18.7675
30,0,18.7
20,0,18.7
20,0,18.7
40,0,18.6666666666667
50,0,18.6
50,0,18.6
50,0,18.6
40,0,18.566666666666695
80,0,18.5
40,10,18.5
50,0,18.5
340,10,18.5
150,10,18.5
50,0,18.5
40,0,18.426666666666698
60,10,18.39
60,0,18.39
60,0,18.39
50,0,18.34
70,0,18.323333333333295
60,0,18.29
60,10,18.29
60,10,18.29
350,20,18.23
360,10,18.2
80,10,18.2
50,10,18.2
60,0,18.2
80,10,18.2
50,10,18.2
80,0,18.2
90,10,18.26
90,10,18.2
70,0,18.2
90,10,18.2
60,0,18.2
70,10,18.2
90,0,18.125
70,10,18.1
110,0,18.1
70,0,18.1
70,0,18.1
80,0,18.1
330,10,18.1
220,0,18.033333333333296
70,0,18.0
60,0,18.0
50,0,18.0
60,0,18.0
80,0,17.89
70,0,17.89
80,0,17.89
70,0,17.89
80,0,17.856666666666698
70,0,17.79
80,0,17.79
50,0,17.79
40,0,17.79
30,0,17.7
50,0,17.7
80,0,17.7
80,0,17.7
80,0,17.6
70,0,17.6
90,0,17.6
80,0,17.6
80,0,17.6
80,0,17.6
70,0,17.5
60,0,17.5
50,0,17.5
80,0,17.5
80,0,17.5
60,0,17.5
70,0,17.39
340,0,17.39
360,0,17.39
160,0,17.39
120,10,17.39
90,0,17.39
90,0,17.39
90,10,17.39
80,0,17.463333333333303
170,10,17.533333333333303
830,10,17.6
540,30,17.7633333333333
340,30,17.963333333333303
410,40,18.23
390,30,18.356666666666698
360,40,18.533333333333296
330,50,18.6
210,40,18.73
100,40,18.856666666666698
160,30,19.0
390,20,19.1
440,10,19.26
400,20,19.426666666666698
420,10,19.5
390,10,19.6
410,20,19.6666666666667
210,10,19.7
70,20,19.76
60,10,19.79
50,10,19.856666666666698
70,20,19.89
160,10,19.89
360,20,19.926666666666698
150,10,20.0
60,10,20.0
60,20,20.0
50,10,20.0
50,10,20.0
50,20,19.89
50,10,19.823333333333295
50,0,19.79
60,0,19.76
50,0,19.7
40,0,19.6666666666667
20,0,19.6
30,0,19.566666666666695
50,0,19.5
50,0,19.463333333333296
60,0,19.39
60,0,19.356666666666698
60,0,19.29
40,0,19.29
60,0,19.23
40,0,19.2
40,0,19.1333333333333
40,0,19.1
30,0,19.1
40,0,19.066666666666695
60,0,19.0
50,0,18.89
50,0,18.89
40,0,18.89
50,0,18.79
50,0,18.73
60,0,18.7
50,0,18.7
40,0,18.6
30,0,18.6
30,0,18.6
40,0,18.6
50,0,18.5
50,0,18.5
60,0,18.463333333333296
60,0,18.39
50,0,18.39
40,0,18.39
50,0,18.356666666666698
50,0,18.29
60,10,18.29
30,0,18.29
30,0,18.29
50,10,18.26
50,0,18.2
50,10,18.2
40,10,18.2
60,10,18.2
40,10,18.2
50,10,18.1666666666667
40,0,18.1
30,0,18.1
20,0,18.1
20,0,18.066666666666695
40,0,18.0
40,0,18.0
40,0,18.0
50,0,17.89
60,0,17.89
60,20,17.89
60,10,17.856666666666698
50,20,17.79
40,10,17.79
30,20,17.79
50,10,17.79
70,10,17.79
60,20,17.79
60,10,17.79
60,20,17.79
60,20,17.79
60,10,17.79
50,20,17.856666666666698
50,10,17.89
40,0,17.963333333333303
50,10,18.0
50,0,18.0
60,0,18.0
60,10,18.0
50,0,18.0
50,0,18.033333333333296
50,10,18.1
50,0,18.1
50,0,18.1
290,0,18.1
360,0,18.1
230,0,18.1
60,0,18.1666666666667
70,0,18.2
70,0,18.26
80,0,18.323333333333295
60,0,18.39
60,0,18.533333333333296
40,0,18.6666666666667
50,0,18.823333333333295
50,0,18.963333333333296
40,0,19.1633333333333
40,0,19.356666666666698
40,0,19.55
50,0,19.73
40,0,19.79
50,0,19.823333333333295
40,0,19.89
40,0,19.89
40,0,19.89
40,0,19.89
50,0,19.89
40,0,19.79
20,0,19.79
20,0,19.79
30,0,19.73
50,10,19.7
70,10,19.7
90,30,19.6
110,20,19.6
200,10,19.6
430,20,19.6
1070,30,19.6
890,20,19.73
590,30,19.856666666666698
100,0,19.89
100,10,19.963333333333296
120,10,20.1
150,0,20.1
120,10,20.2
120,20,20.2
160,20,20.2
480,10,20.26
460,0,20.29
360,0,20.29
330,0,20.29
310,0,20.356666666666698
250,0,20.39
220,10,20.463333333333296
90,0,20.533333333333296
80,0,20.6
80,0,20.7
70,0,20.7225
50,0,20.73
50,0,20.79
40,10,20.79
40,0,20.7
40,0,20.7
30,0,20.7
50,0,20.6333333333333
50,0,20.6
40,0,20.6
50,0,20.5
40,0,20.5
40,10,20.39
40,0,20.39
40,0,20.29
50,0,20.29
30,0,20.2
30,0,20.2
20,0,20.1
40,0,20.075
40,0,20.0
50,0,19.963333333333296
40,0,19.823333333333295
50,0,19.79
50,0,19.79
40,0,19.7
40,0,19.7
30,0,19.6666666666667
20,0,19.6
30,0,19.566666666666695
30,0,19.5
40,0,19.463333333333296
50,0,19.39
40,0,19.356666666666698
50,0,19.356666666666698
30,0,19.29
40,0,19.23
40,0,19.2
50,0,19.125
40,0,19.1
20,0,19.066666666666695
20,0,19.0
30,0,19.0
40,0,18.926666666666698
40,0,18.89
50,0,18.89
50,0,18.89
40,0,18.823333333333295
50,0,18.79
40,0,18.79
40,0,18.7
30,0,18.7
30,10,18.7
20,0,18.7
30,0,18.6666666666667
70,10,18.6
50,0,18.6
60,10,18.6
40,10,18.6
40,10,18.6
40,10,18.6
60,10,18.6
50,20,18.533333333333296
30,0,18.5
80,0,18.5
340,0,18.5
50,0,18.5
50,0,18.463333333333296
60,0,18.39
60,0,18.39
60,0,18.39
60,0,18.39
50,0,18.39
60,0,18.29
30,0,18.29
30,0,18.356666666666698
30,0,18.29
340,0,18.29
400,0,18.29
70,0,18.29
50,0,18.39
40,0,18.39
40,0,18.39
40,0,18.39
40,0,18.39
30,0,18.39
30,0,18.39
20,0,18.39
30,0,18.39
40,0,18.39
50,0,18.426666666666698
40,0,18.5
40,0,18.39
50,0,18.39
50,0,18.5
40,0,18.426666666666698
30,0,18.39
20,0,18.39
20,0,18.39
20,0,18.39
40,0,18.39
50,0,18.39
50,0,18.39
40,0,18.356666666666698
40,0,18.29
40,0,18.29
40,0,18.29
40,0,18.29
20,0,18.29
30,0,18.26
20,0,18.2
40,0,18.2
40,0,18.2
40,0,18.2
40,0,18.2
40,0,18.15
40,0,18.1
50,0,18.1
50,0,18.1
20,0,18.1
20,0,18.1
20,0,18.1
30,0,18.0
